28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEHE131;Limburg-Schiede;19;K;01.01.2017;27.05.2017;7;11;1;0;0;0;0;0;0;0;0;0
DEHE134;Fulda-Zentral;7;K;01.01.2017;27.05.2017;4;3;0;0;0;0;0;0;0;0;0;0
DEHH008;"Hamburg Sternschanze";7;K;01.01.2017;27.05.2017;3;4;0;0;0;0;0;0;0;0;0;0
DEHH015;"Hamburg Veddel";8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEHH016;"Hamburg Billbrook";5;K;01.01.2017;27.05.2017;1;4;0;0;0;0;0;0;0;0;0;0
DEHH026;"Hamburg Stresemannstraße";7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DEHH033;"Hamburg Flughafen Nord";5;K;01.01.2017;25.05.2017;1;4;0;0;0;0;0;0;0;0;0;0
DEHH059;"Hamburg Wilhelmsburg";6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DEHH068;"Hamburg Habichtstraße";13;K;01.01.2017;27.05.2017;8;5;0;0;0;0;0;0;0;0;0;0
DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DEHH072;"Hamburg Finkenwerder West";6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DEHH079;"Hamburg Altona Elbhang";8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEHH081;"Hamburg Hafen";8;K;01.01.2017;27.05.2017;1;6;1;0;0;0;0;0;0;0;0;0
DEMV003;Neubrandenburg;10;K;01.01.2017;27.05.2017;2;8;0;0;0;0;0;0;0;0;0;0
DEMV004;Gülzow;7;K;01.01.2017;27.05.2017;1;6;0;0;0;0;0;0;0;0;0;0
DEMV007;Rostock-Stuthof;7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DEMV012;Löcknitz;10;K;01.01.2017;27.05.2017;4;6;0;0;0;0;0;0;0;0;0;0
DEMV017;Göhlen;5;K;01.01.2017;27.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
DEMV019;Güstrow;6;K;01.01.2017;27.05.2017;1;5;0;0;0;0;0;0;0;0;0;0
DEMV020;"Rostock Am Strande";15;G;01.01.2017;05.04.2017;4;9;2;0;0;0;0;0;0;0;0;0
